timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1489761258846,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-1,,true,,31,0,70,70,5011,0,0
1489761259850,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-2,,true,,31,0,88,88,5008,0,0
1489761259850,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-3,,true,,31,0,88,88,5008,0,0
1489761259853,5006,SOAP/XML-RPC Request,200,OK,PythonDirect 1-4,,true,,31,0,88,88,5006,0,0
1489761259853,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-5,,true,,31,0,88,88,5008,0,0
1489761259857,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-7,,true,,31,0,88,88,5011,0,0
1489761259859,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-6,,true,,31,0,88,88,5010,0,0
1489761259860,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-8,,true,,31,0,88,88,5011,0,0
1489761259862,5011,SOAP/XML-RPC Request,200,OK,PythonDirect 1-9,,true,,31,0,88,88,5011,0,0
1489761259865,5012,SOAP/XML-RPC Request,200,OK,PythonDirect 1-11,,true,,31,0,88,88,5011,0,0
1489761259865,5026,SOAP/XML-RPC Request,200,OK,PythonDirect 1-10,,true,,31,0,88,88,5026,0,0
1489761259873,5021,SOAP/XML-RPC Request,200,OK,PythonDirect 1-15,,true,,31,0,88,88,5021,0,0
1489761259875,5021,SOAP/XML-RPC Request,200,OK,PythonDirect 1-16,,true,,31,0,88,88,5021,0,0
1489761259877,5021,SOAP/XML-RPC Request,200,OK,PythonDirect 1-17,,true,,31,0,88,88,5021,0,0
1489761259873,5027,SOAP/XML-RPC Request,200,OK,PythonDirect 1-14,,true,,31,0,88,88,5027,0,0
1489761259869,5034,SOAP/XML-RPC Request,200,OK,PythonDirect 1-13,,true,,31,0,88,88,5034,0,0
1489761259871,5033,SOAP/XML-RPC Request,200,OK,PythonDirect 1-12,,true,,31,0,88,88,5033,0,0
1489761259879,5210,SOAP/XML-RPC Request,200,OK,PythonDirect 1-18,,true,,31,0,99,97,5210,0,0
1489761260881,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-20,,true,,31,0,105,105,5008,0,0
1489761260880,5010,SOAP/XML-RPC Request,200,OK,PythonDirect 1-19,,true,,31,0,105,105,5009,0,0
1489761260885,5008,SOAP/XML-RPC Request,200,OK,PythonDirect 1-22,,true,,31,0,105,105,5007,0,0
1489761260885,5009,SOAP/XML-RPC Request,200,OK,PythonDirect 1-21,,true,,31,0,105,105,5009,0,0
1489761260888,5007,SOAP/XML-RPC Request,200,OK,PythonDirect 1-23,,true,,31,0,105,105,5007,0,0
1489761260889,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-24,,true,,31,0,105,105,5013,0,0
1489761260891,5013,SOAP/XML-RPC Request,200,OK,PythonDirect 1-25,,true,,31,0,105,105,5013,0,0
